"smoking mirrors","smoke and mirrors"
"intensive purposes","intents and purposes"
"doggy dog world","dog eat dog world"
"mute point","moot point"
"case and point","case in point"
irregardless,regardless
"beckon call","beck and call"
"hunger pains","hunger pangs"
"wreck havoc","wreak havoc"
"escape goat",scapegoat
expresso,espresso
"feeble positon","fetal position"
"baited breath","bated breath"
"another thing comming","another think coming"
"pawn off","palm off"
"slight of hand","sleight of hand"
"different tact","different tack"
"wet my appetite","whet my appetite"
"tow the line","toe the line"
"take for granite","take for granted"
"free reign","free rein"
"one in the same","one and the same"
"another thing comming","another think coming"
"statue of limitations","statute of limitations"
"extract revenge","exact revenge"
